condition,N,mean,std,SE,median,min,max,q25,q75
sigma_token__causal,30,187.71147556106249,30.489683540489203,5.566629148773305,188.16767256245657,104.22671297192574,271.47749966802076,175.053019576706,200.4591950371978
sigma_token__noncausal,30,222.2105872258582,51.8034914553687,9.457980275877189,232.27851409059713,90.68095480115153,337.1865427046723,194.37625707976986,258.2054851854191
sigma_block__causal,30,20.869903720560963,8.263472607073659,1.5086967834067557,19.701402140664868,6.168641060590744,44.450921669602394,16.501132520030183,25.483020328450948
sigma_block__noncausal,30,13.791682656227385,6.97786978984179,1.2739788957433937,13.31417559410329,1.9944923539733281,35.2052702664223,9.747753380739596,18.69993625234565
sigma_token_perT__causal,30,4.050615117281,0.49489857117594255,0.0903557037033799,3.9538637715182743,2.649242269577157,5.027361104963347,3.825624158359358,4.2674550749103695
sigma_token_perT__noncausal,30,3.93100060544967,0.66743733528723,0.1218568280859849,4.0161968005136135,1.778057937277481,4.958625628009887,3.787466516533564,4.363716283934865
sigma_block_perT__causal,30,0.45717502565527807,0.18942663661653317,0.03458441395573643,0.42900812051663784,0.12851335542897382,0.9071616667265795,0.3273040064286025,0.574977410734958
sigma_block_perT__noncausal,30,0.2489148742595936,0.12662097889503987,0.023117722131399634,0.23833627192993728,0.034991093929356634,0.5499425195157528,0.1689171402132879,0.32314618655986616
