label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,3.0757521732044246,3.369070796582927,3.1023339555243905,3.3588626766509515,3282.0,2.7104704187739095e-05,-0.3436
sigma_block_per_T,100,100,0.11859547003571477,0.01066518587069776,0.1395851699810925,0.013714649767172833,7286.0,2.345552254559975e-08,0.45720000000000005
sigma_token_per_T (outliers removed),100,100,3.0757521732044246,3.369070796582927,3.1023339555243905,3.3588626766509515,3282.0,2.7104704187739095e-05,-0.3436
sigma_block_per_T (outliers removed),99,98,0.11790973879396915,0.011435166241709965,0.13464186036406806,0.020168150909693722,6989.0,9.174194253743297e-08,0.4407338693052978
