label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.7659892642404884,2.5791069997940212,2.791830752222415,2.6929660933816946,5507.0,0.21587314314741302,0.10139999999999993
sigma_block_per_T,100,100,0.07307889882565266,0.013682760823737934,0.07424630100804866,0.01715145577350516,6312.0,0.0013529516343376827,0.26239999999999997
sigma_token_per_T (outliers removed),98,99,2.7627359830075875,2.5754775227978826,2.7583089000930063,2.676929873693286,5307.0,0.2549306427986644,0.0940012368583798
sigma_block_per_T (outliers removed),99,99,0.07725817384198308,0.013658363372087479,0.07846066850135167,0.012777756626810102,6311.0,0.00046977855807323727,0.2878277726762575
