label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.2862628191303944,2.6910772144794466,2.3517693704447944,2.775707506659569,2687.0,1.6013377305932515e-08,-0.4626
sigma_block_per_T,100,100,0.05410514215382191,0.04259149658201563,0.054464246217693,0.03529683133855169,5468.0,0.2533358630703899,0.0935999999999999
sigma_token_per_T (outliers removed),97,100,2.27889023674652,2.6910772144794466,2.337448028363088,2.775707506659569,2497.0,4.094461991747508e-09,-0.4851546391752577
sigma_block_per_T (outliers removed),98,98,0.05929030355505852,0.03835539789923297,0.06242872497405934,0.02867662516505025,5466.0,0.09472478499030078,0.13827571845064557
