label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.830770789613634,3.0051350146733893,2.854381143209718,3.0667958927932513,3984.0,0.013091832031530479,-0.20320000000000005
sigma_block_per_T,100,100,0.0918918797739087,0.017019996308954434,0.08680109660439543,0.028864582502392683,6356.0,0.0009262703079246344,0.2712000000000001
sigma_token_per_T (outliers removed),100,100,2.830770789613634,3.0051350146733893,2.854381143209718,3.0667958927932513,3984.0,0.013091832031530479,-0.20320000000000005
sigma_block_per_T (outliers removed),95,99,0.09175697414967646,0.017875883239321412,0.08508455007659269,0.032715553833325035,5954.0,0.001374232002999981,0.2661350345560871
