label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.664488704922322,2.650884891713786,2.7078442996793886,2.5993951833412594,5389.0,0.34249012982545535,0.07780000000000009
sigma_block_per_T,100,100,0.06644586224051749,0.0342746774803985,0.053969130137607076,0.032004204213615134,5467.0,0.2543525840733376,0.09339999999999993
sigma_token_per_T (outliers removed),99,99,2.6547388543507884,2.655428682686761,2.6925921191717728,2.615881659065469,5190.0,0.47346824182944314,0.05907560453014993
sigma_block_per_T (outliers removed),97,100,0.06656744672105677,0.0342746774803985,0.05899802564785651,0.032004204213615134,5367.0,0.19668693334054832,0.10659793814432983
