label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.9591866896081456,3.3320141587459498,2.957274872663043,3.3180087557582363,3409.0,0.00010182142260437521,-0.31820000000000004
sigma_block_per_T,100,100,0.13616070550386244,0.021381320655001965,0.13289763378686867,0.011084295564780305,6886.0,4.085008612129294e-06,0.3772
sigma_token_per_T (outliers removed),100,100,2.9591866896081456,3.3320141587459498,2.957274872663043,3.3180087557582363,3409.0,0.00010182142260437521,-0.31820000000000004
sigma_block_per_T (outliers removed),99,100,0.13643863275874316,0.021381320655001965,0.13737369028687094,0.011084295564780305,6882.0,1.984225525484512e-06,0.3903030303030304
