label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.941507789263733,3.330109863721207,2.991673023509782,3.33350167084683,3324.0,4.241808262043799e-05,-0.33520000000000005
sigma_block_per_T,100,100,0.18177602408137067,-0.02746954669555028,0.21997689644452717,-0.013708076538732315,7846.0,3.5845408375257138e-12,0.5691999999999999
sigma_token_per_T (outliers removed),100,99,2.941507789263733,3.3492455605566978,2.991673023509782,3.350954321547454,3224.0,2.1579584487048223e-05,-0.3486868686868687
sigma_block_per_T (outliers removed),95,95,0.1812200827231674,-0.02522697828710079,0.20454019537353788,-0.004609628834291327,7146.0,3.729710403051756e-12,0.5836011080332411
