label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.6968712059315294,2.5338179116737995,2.798390120232861,2.5924712748541094,5969.0,0.017960951860143185,0.19379999999999997
sigma_block_per_T,100,100,0.14072655161212694,0.027780164033174515,0.16731319961239005,0.019301200824751195,7219.0,5.937998220986239e-08,0.4438
sigma_token_per_T (outliers removed),99,99,2.6925979836378247,2.5281394757807396,2.780929857211265,2.5743528253769457,5869.0,0.016347350814930158,0.1976328946025916
sigma_block_per_T (outliers removed),99,100,0.13950116121593645,0.027780164033174515,0.1627892217243931,0.019301200824751195,7119.0,9.373009614731349e-08,0.43818181818181823
