label,n_causal,n_noncausal,median_causal,median_noncausal,mean_causal,mean_noncausal,U,p,rank_biserial_r
sigma_token_per_T,100,100,2.6059785989979547,2.7674334030465353,2.5574196087736802,2.8076974653503943,3810.0,0.003656007918002981,-0.238
sigma_block_per_T,100,100,0.1137151772360568,0.030807068830061644,0.11052928948227628,0.06750115884878467,5820.0,0.04524632891922342,0.16399999999999992
sigma_token_per_T (outliers removed),99,100,2.5906315173276444,2.7674334030465353,2.5393231166257593,2.8076974653503943,3710.0,0.0022774803171846164,-0.25050505050505045
sigma_block_per_T (outliers removed),99,98,0.11519123758947433,0.03516882577807539,0.11604882282275061,0.07981023660822943,5620.0,0.05476299693897766,0.1585240156668728
