# Input parameters
"A(1,:)",0.8000000000,0.3000000000
"A(2,:)",0.0000000000,0.5000000000
"C(1,:)",1.0000000000,0.5000000000
"C(2,:)",0.0000000000,1.0000000000
"Q(1,:)",1.0000000000,0.0000000000
"Q(2,:)",0.0000000000,1.0000000000
"R(1,:)",1.0000000000,0.0000000000
"R(2,:)",0.0000000000,1.0000000000
N_mc,20000
seed,42

# Steady-state Kalman filter quantities
"P(1,:)",1.3730120206,0.0185210353
"P(2,:)",0.0185210353,1.1249141245
"S(1,:)",2.6727615870,0.5809780975
"S(2,:)",0.5809780975,2.1249141245
"K(1,:)",0.5478342368,-0.1410685985
"K(2,:)",0.1087596505,0.4996564978

T,Sy_analytic
1,0.0000000000
2,0.0686493711
3,0.1715858034
4,0.2763841389
5,0.3729986507
6,0.4606804764
7,0.5412315737
8,0.6166753254
9,0.6886388981
10,0.7582920873
11,0.8264337784
12,0.8935950614
13,0.9601236859
14,1.0262453353
15,1.0921056925
16,1.1577984920
17,1.2233839221
18,1.2889005831
19,1.3543732105
20,1.4198176481
21,1.4852440407
22,1.5506588833
23,1.6160663333
24,1.6814690518
25,1.7468687420
26,1.8122664942
27,1.8776630059
28,1.9430587238
29,2.0084539336
30,2.0738488183
31,2.1392434948
32,2.2046380381
33,2.2700324963
34,2.3354268998
35,2.4008212684
36,2.4662156147
37,2.5316099467
38,2.5970042696
39,2.6623985865
40,2.7277928998
41,2.7931872106
42,2.8585815199
43,2.9239758282
44,2.9893701359
45,3.0547644432
46,3.1201587502
47,3.1855530571
48,3.2509473638
49,3.3163416705
50,3.3817359772

T,Sy_mc_mean,Sy_mc_se
5,0.3734940545,0.0068641544
10,0.7577744711,0.0096845873
15,1.0906961824,0.0116013728
20,1.4221989200,0.0131992071
25,1.7601759762,0.0145945106
30,2.0821086523,0.0158964374
35,2.4146312258,0.0170010202
40,2.7147023269,0.0181616660
45,3.0352962685,0.0190711475
50,3.3527696680,0.0200949823
