sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.0676783750,-0.0028828997,0.1643474863,-0.0682320683,0.3831223454,0.0430218363,-0.3555909028,0.1962809829,7.8377169429,2.7342076648
0.1838955781,0.4615498443,4.1980056965,8.2366175722,0.5390001687,0.6177374533,1.8100901054,0.2818093996,1.4430211626,-0.9215777803
-0.0642266679,-2.1853674673,0.3253185986,4.1336549308,0.5638763567,-0.3769660285,0.7052270341,0.6466217852,0.3832218850,0.3187356725
-0.3186538410,0.2606223761,0.5444180501,1.8388596754,-0.0388713703,0.2085324665,0.8010413990,-1.1265921895,0.0845425883,0.1167408498
0.7425724875,0.5992064768,-0.2243573782,1.8283696931,1.9591510822,-0.0063516079,2.6151679205,1.6416192071,-0.4666741888,1.0539635462
0.8195486911,2.7776594331,-0.0043004673,1.3443158900,0.4586798316,-0.2154159813,4.0512738814,0.0098096435,-0.0338418356,-1.4086333436
0.0397809012,0.9819556099,-0.1563391820,0.6008309209,-0.0604057281,0.1870998324,0.4223481061,0.5338882524,0.3233828816,0.7599819587
-0.0966709802,0.7944519294,-0.2316137290,1.5216984548,1.0942271907,5.4376310340,-1.6699158864,0.3375816195,-0.2746796128,-0.2205203690
-0.2991547490,-0.2962394751,-0.8900325449,3.8187899503,5.2025959943,1.2085370754,5.0901471676,-0.6627157250,1.8351149132,1.5265252534
0.0363415710,0.0844638679,1.5845001696,1.6499378278,0.0346116860,2.4567348445,1.4011863213,-1.0062157469,-0.2890892645,-0.3593248428
-0.2786935342,0.0184313971,2.9217779668,1.9998410688,-0.0357012030,0.6191537450,-0.2996615111,-0.0818933926,0.2427749260,3.9688022395
-0.0838924502,0.6120678273,-0.3422906190,0.0477248700,-0.0890804909,1.1545303950,-0.0346640619,1.0406710782,-0.0001422455,0.4033273967
0.0465846729,0.0125837645,-0.8829346914,-0.7371649092,-0.7988340618,-1.7405059559,1.3522979374,1.8863115698,-0.0625058745,3.1084241905
0.1713240393,-0.1622385822,-0.0617076243,0.0850845059,0.0272364854,0.0696764107,-0.3798384496,2.4578770661,0.4134742540,-0.5150063838
0.0784734468,0.6890262410,0.0592269185,0.8463790409,-0.1269514686,0.0466516658,-0.4212766683,0.6832516702,0.1093028028,-0.4624924875
0.0321071775,1.8063500700,1.3851817685,0.0479729063,2.5572046528,0.1924077132,1.6004373480,0.6873422095,2.7838736359,-0.1448770182
0.7277530773,1.3713998821,4.9927323420,0.8225528504,-0.1263747647,0.1761868500,2.5851481913,0.2200378975,1.6116723892,-0.4585376370
0.4803671961,-0.1646509679,0.2180889063,2.5157467282,0.0817285357,3.2860766588,0.0347131279,2.3643218280,-1.6785694977,0.4489774144
0.1452061926,-0.1413028032,-0.5048589165,0.0430034898,0.7403780644,3.2298375468,0.6070572109,0.5797406900,0.3060396970,1.5946131385
-0.0187136184,0.8316995739,1.0049949848,-0.0169048714,-0.9846204596,0.0436180941,-0.2140892918,0.8751699307,-0.0346563790,0.0937032360
