sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.3497208493,-0.1494717446,-0.9955388033,-0.9838803143,6.8118214280,5.8034775222,1.1983864280,4.0542994918,9.4783740794,0.7790898982
0.5947059075,-0.1452949733,2.1188306513,-0.9224440714,6.3304235160,4.7471809050,-0.6639442295,2.6511650804,3.5853470072,5.4123850716
-0.2537109115,-0.1654511155,1.6849102766,0.7902019687,2.3821341729,2.9048988273,1.3148175765,4.7195537704,1.9143542114,1.8345899884
0.3184713368,-1.0811156605,-0.2514314282,-0.9346206523,3.0148742716,5.0892478425,2.2613590244,1.6701008772,8.5029945838,2.2290632295
1.8675119733,2.1797435946,1.7002369487,1.2781323943,5.0291302785,1.5113716622,1.5820825486,9.7421103175,-1.1379743773,2.3110024867
0.8699695705,1.0243599059,-2.0077227719,-0.0598004163,1.3338176365,3.1117655752,1.6358289255,7.7255190058,6.9169860632,3.8060138546
0.2324295060,2.6665819724,1.4778062815,0.6306720861,3.2768023360,1.4585424530,0.6286990654,1.2221685438,2.6058412093,0.4303516789
-2.0263024826,-1.2336260134,0.4282982596,1.1474519570,2.5277847253,-0.0580485003,-1.0690119686,3.7145652892,0.6881886775,3.7745973607
-0.4681370287,2.6806728069,1.6331756084,1.2978693748,6.8379592263,1.8897226488,6.2004527262,-1.4505312402,9.2454202524,-2.8044961261
0.3183983613,1.5927396585,-1.4525341709,-0.0971693779,3.2228526640,3.1961358619,3.5954817956,2.3206936185,1.9552324714,8.9107362035
-0.6933791696,-0.8165993061,1.9750957934,1.4089067620,0.1602957082,1.4231719132,2.7372481850,4.4190612469,-1.3727839114,3.8682242786
3.0532437920,0.9437725649,1.9941745258,2.1644167292,2.1533641212,-0.6233280325,2.5510476881,4.5879017889,4.2007335421,-0.2091457336
0.4693788749,5.6670345850,0.9826775302,1.5827745366,3.0578173302,2.1940435616,3.4955934974,0.7526165639,2.5876376759,2.7719487360
0.9994616860,0.0806259007,0.3362199769,1.7424774632,-0.0371289907,5.6949878070,-2.4318440372,1.1978442547,1.4704372262,4.3294030510
0.5268712733,0.1225580783,1.9790840267,5.0961729657,3.3410282912,-1.0686249902,-1.0491690881,3.7673056916,-0.7285540901,3.1885667042
-0.8478802281,-0.9372913609,1.2168166097,1.1241755688,2.9750950231,3.0480977233,1.5489123870,0.1911132994,4.8931402568,6.0306532353
1.1369435196,2.1529074002,0.5187765756,-0.9206552895,1.2394826366,0.9179959419,2.1680247356,2.0116478835,2.0840802779,0.0977911921
-0.9283636413,0.9032794703,1.2580076102,1.9395373085,2.3513609505,1.1876526792,4.2767892125,7.5592942785,-0.3361356857,0.8274227399
1.0146623814,-0.5466988030,-3.5060167326,2.9333892901,0.4717271941,2.9969141692,0.0560717098,3.3276480382,4.4453886123,2.1518368152
1.7990599077,0.6649524009,2.4942206229,4.1220482562,1.2510443075,6.2691499197,2.2898352184,6.5643861298,-1.4484441882,3.2291591227
0.0330977185,0.7588146002,0.4053423863,0.6157323057,2.8662937071,1.7330910784,6.6316926847,-0.4044721418,0.9118300052,1.4310062980
0.3006059015,-0.5523930016,-0.8988415904,2.0124972854,5.8424663514,1.9411771559,-1.0632751981,1.0321399117,4.2319561543,5.8131062988
0.4102538112,2.5728819687,1.2202815360,4.9686684189,3.8210549905,0.3172619265,-1.3012332951,1.9740048493,5.1253041783,2.9058302478
0.8611930414,2.4072948308,0.1682852996,5.0213195910,0.2723955237,2.4971346399,-0.6610020362,3.1108434829,4.0663101231,3.3073908562
-0.5796654435,1.6584097015,0.0263620885,0.0050104790,-3.1908621907,1.5637882158,-0.7831116627,5.8403914993,5.6945898296,2.6834364406
1.0553792802,-1.3454358229,2.4413516873,0.8090060016,2.9964047588,3.5492309955,5.2096445322,3.6932380969,3.6086068248,2.3338195159
-1.1805538698,-1.4314564509,0.3334607730,-1.2586579492,1.1565889282,-0.7526584717,2.0951551799,2.2412531982,3.5923962216,-2.0601978848
-0.3668295369,0.1949004737,3.1312346242,2.4166696172,2.2892516411,2.0132781396,-3.1182245033,4.4392167504,1.0995413686,2.6084080475
0.2319327576,0.1546705319,-2.3409257870,10.0346006351,-0.0518958754,2.3857305669,2.1584404202,4.5647357563,2.0571826449,3.6311110434
