# Input parameters
A,0.9000000000
C,1.0000000000
Q,1.0000000000
R,1.0000000000
N_mc,20000
seed,42

# Steady-state Kalman filter quantities
P,1.4838999027
S,2.4838999027
K,0.5974072873

T,Sy_analytic
1,0.0000000000
2,0.0417851635
3,0.1128127122
4,0.1874839725
5,0.2544193152
6,0.3108757952
7,0.3573556654
8,0.3952518505
9,0.4260288706
10,0.4509847628
11,0.4712076866
12,0.4875910771
13,0.5008625438
14,0.5116127321
15,0.5203204824
16,0.5273737921
17,0.5330869834
18,0.5377146718
19,0.5414631004
20,0.5444993280
21,0.5469586724
22,0.5489507415
23,0.5505643174
24,0.5518713139
25,0.5529299811
26,0.5537875015
27,0.5544820931
28,0.5550447122
29,0.5555004337
30,0.5558695681
31,0.5561685670
32,0.5564107561
33,0.5566069293
34,0.5567658295
35,0.5568945387
36,0.5569987932
37,0.5570832393
38,0.5571516407
39,0.5572070458
40,0.5572519239
41,0.5572882752
42,0.5573177197
43,0.5573415698
44,0.5573608884
45,0.5573765364
46,0.5573892113
47,0.5573994780
48,0.5574077940
49,0.5574145300
50,0.5574199861

T,Sy_mc_mean,Sy_mc_se
5,0.2511297589,0.0056125809
10,0.4476921303,0.0081102374
15,0.5245404392,0.0090148001
20,0.5427277106,0.0090950431
25,0.5626735333,0.0092822433
30,0.5590580619,0.0093612835
35,0.5486617062,0.0094725765
40,0.5608568088,0.0094728611
45,0.5621125662,0.0093096948
50,0.5750563587,0.0094758546
