temperature,N,cumulative_mean_exp_neg_sigma,ci_lower_2.5,ci_upper_97.5
3.0,10,2.0061714292857156,0.1243559375817665,4.975308487109245
3.0,20,1.2097421935348047,0.22205035429821882,2.852160110566066
3.0,30,1.07544873974363,0.2222433776555272,2.252815571337497
3.0,40,0.9179029988957218,0.2926690763116225,1.824829824084888
3.0,50,0.798441680537124,0.29109793802671335,1.4947325096021002
3.0,60,0.7997615904630698,0.3303956597447806,1.4570307844520118
3.0,70,0.7625551881426026,0.34216346855641944,1.3058264316279773
3.0,80,0.7483223413269099,0.39130744293920944,1.2317775265852513
3.0,90,0.7194475326879987,0.3897867350995157,1.1620669544037494
3.0,100,0.6872994402064236,0.4033062271587765,1.0816949819670068
3.0,110,0.6463722156288401,0.3631087338094413,1.007048188122047
3.0,120,0.6041256514682821,0.3543322340950531,0.9368915988743634
3.0,130,0.9177400483198807,0.4118516091940142,1.6867595796280594
3.0,140,0.9406720448173606,0.43845407672260756,1.7013459440917358
3.0,150,0.946108705724446,0.46863257980815065,1.6184981655162036
3.0,160,0.9021013527286277,0.45356690169200414,1.6167325909099222
3.0,170,0.8900624776597512,0.45391237023041164,1.4832096500818421
3.0,180,0.8804795194084246,0.47795603898490546,1.4671218978248957
3.0,190,0.876626517020926,0.4899227415180472,1.4686518679420346
3.0,200,0.8426518677645212,0.48106929434918483,1.3957257460714148
3.0,210,0.8631010069256561,0.5122602934476057,1.3549206938910818
3.0,220,0.8376565433017041,0.49438323487289565,1.3479994854617139
3.0,230,0.8609377725265323,0.5213904588236971,1.3725343160586354
3.0,240,0.9573617832249697,0.6026237720432575,1.4141068628180746
3.0,250,0.9237863820725528,0.5714830388115507,1.3864068676650758
3.0,260,0.9833812510315665,0.6494065520050009,1.4400862500787883
3.0,270,0.963405021120572,0.618868359018254,1.4045780327292323
3.0,280,0.9450706717192663,0.613437045513541,1.3981463317696088
3.0,290,0.9163237675352526,0.6074540357915336,1.3350570050292674
3.0,300,0.9037055919908096,0.6046253994217197,1.3099874085120427
3.0,310,0.8781342804371042,0.5847793947720864,1.2362083205789487
3.0,320,0.8819041301556843,0.5971826309163585,1.2695635033569117
3.0,330,0.8643821293832099,0.5862015294389012,1.2256048890458435
3.0,340,0.8457932827942747,0.5782225167609147,1.19301772876093
3.0,350,0.8380182803068814,0.5722634320526836,1.1835560667661773
3.0,360,0.819934745858628,0.5632728021395792,1.149931212420111
3.0,370,0.8258391650061222,0.5761985022146268,1.1483458358789134
3.0,380,0.8144755739620241,0.5756772176617894,1.1218700766702416
3.0,390,0.8196338020630303,0.5754166848814375,1.1337075038222721
3.0,400,0.8492865377579865,0.594495262675516,1.1534221190204605
3.0,410,0.8297301190874126,0.5789501286066486,1.1378743732510472
3.0,420,0.8236213947781555,0.5963316793847413,1.1225787851618183
3.0,430,0.8076339424549556,0.5716611302561196,1.0804637403361492
3.0,440,0.8005947000077079,0.5752086746901041,1.075764534690963
3.0,450,0.8252996851067897,0.581686810092232,1.137720989948804
3.0,460,0.8093246413562948,0.5744902136843041,1.0806467428244535
3.0,470,0.7970676194302699,0.5772780206592354,1.05813978819808
3.0,480,0.8087972797976205,0.5854560628442701,1.0773947993003483
3.0,490,0.7953177223052762,0.5823277047593551,1.072019717148302
3.0,500,0.7820990139105136,0.5696459821671922,1.0348928631330612
3.0,510,0.7752493110108466,0.5609538938147388,1.0280045990220863
3.0,520,0.7761037728381747,0.5657267375907991,1.0327005188773315
3.0,530,0.7635617984332588,0.5560875998823992,1.0056938399714468
3.0,540,0.7527473151794738,0.5633801588546398,0.9842414313974822
3.0,550,0.7471287201829384,0.5531050790399159,0.9877553173182119
3.0,560,0.7372165335586115,0.554143605732833,0.9825142449287015
3.0,570,0.7267145928636359,0.5359961354204825,0.9554395452227239
3.0,580,0.7926147525847478,0.5619134824374163,1.0640592565052065
3.0,590,0.7833521525059635,0.5634427220349104,1.052477857419606
3.0,600,0.7789890375254557,0.552543701260923,1.03110672807905
3.0,610,0.944506690069731,0.6022182860942111,1.4174894194729721
3.0,620,0.9336456888767741,0.5897302756581921,1.3787968201803233
3.0,630,0.927019985771692,0.5955158806621166,1.3661231153280073
3.0,640,1.0227380403032407,0.6560932694375917,1.489972123718812
3.0,650,1.022536045822972,0.6695648126199215,1.511828206608751
3.0,660,1.0500750382776112,0.6935198944020363,1.529993715418506
3.0,670,1.0409363788688402,0.6948187978072616,1.484142638100846
3.0,680,1.0383622512266162,0.6993513895342204,1.494519348018412
3.0,690,1.0501619453368363,0.7136086657198375,1.5246013886335636
3.0,700,1.0409741221513082,0.7202828351556705,1.491378681710289
3.0,710,1.0298941387584821,0.6915619789592643,1.500728717437286
3.0,720,1.034917670555909,0.6984416165576378,1.4584648563143545
3.0,730,1.0240230990913537,0.6956931031725027,1.4251674944413273
3.0,740,1.0281023365560233,0.7098705685353076,1.4177881769613847
3.0,750,1.0262779723834552,0.7055417590567092,1.4501383761679147
3.0,760,1.0210098867126258,0.7151552912674963,1.4470236953397055
3.0,770,1.0226602200736588,0.7094590860322265,1.4121203029742908
3.0,780,1.0185101191811643,0.7242182231379889,1.4067635930326128
3.0,790,1.0081625431472117,0.6995005150657796,1.3930963203535296
3.0,800,0.9969476233489314,0.7019321019849281,1.3854354758677536
3.0,810,1.0060090742737482,0.7109302439494207,1.4089881936190223
3.0,820,1.0142659485038144,0.7139452100352369,1.3971945097605427
3.0,830,1.0201489111313642,0.7282779219361684,1.3728629559035173
3.0,840,1.0155552282721778,0.7304472206059491,1.3999861406192693
3.0,850,1.0061134302197865,0.7192040958123851,1.3592253032218882
3.0,860,1.0029342658355522,0.7242179927055727,1.3622115450078547
3.0,870,0.9954598204390902,0.7154179632964043,1.354699296264314
3.0,880,0.988964258995125,0.7090772698237661,1.3444953087000724
3.0,890,0.9850797790011908,0.7132510216160287,1.321787595140721
3.0,900,0.9792471305369955,0.7105586474189953,1.3202768926758766
3.0,910,0.9798159809713107,0.7081598863251607,1.3181639933932507
3.0,920,0.9716801104857977,0.7111793636412128,1.310756917837177
3.0,930,0.9647539243391059,0.7138633725071302,1.2830996658950637
3.0,940,0.9891136979154087,0.719554068325469,1.3213607253716106
3.0,950,0.9843610757602292,0.7231992643923025,1.2979242952698657
3.0,960,0.9850789554049302,0.7170780074604037,1.2956193994036358
3.0,970,0.983331058070833,0.704956176480158,1.309807535255264
3.0,980,0.9968850441296057,0.7394552127464763,1.3124791508325933
3.0,990,1.0037819898643918,0.7596306948098992,1.3243510121108837
3.0,1000,0.9994143278396936,0.7557255435298434,1.3126334838646372
3.0,1010,0.9958383535453585,0.7485319145038427,1.3146870773171342
3.0,1020,0.9882575686043622,0.7493309806866897,1.2790154053252476
3.0,1030,1.0001501503350223,0.7441644094284858,1.3061853575252618
3.0,1040,1.0150939337188347,0.7707297444627128,1.3221003216619043
3.0,1050,1.008745758698584,0.7598457493697566,1.2925844543773553
3.0,1060,1.0015056302301768,0.7538260969001206,1.2921924376397451
3.0,1070,0.996513882284631,0.7573632806600819,1.2800460760090613
3.0,1080,0.9916670801410092,0.7645404331385807,1.2944036533381833
3.0,1090,0.9853053659757636,0.7432206561092256,1.2694341148338648
3.0,1100,0.9875584588845401,0.752560683565997,1.2505429537708324
3.0,1110,0.9809151349998919,0.7561178139461087,1.2724756695246915
3.0,1120,0.9830782244297558,0.7531833269688105,1.266852341913291
3.0,1130,0.9777296043495726,0.7457564359399325,1.2372471834243115
3.0,1140,0.9710680303988342,0.7451722126637607,1.2515747645901394
3.0,1150,0.9638567687749575,0.7356939095524958,1.2464183990484794
3.0,1160,0.9703669633291168,0.7565143967984252,1.2458825773049713
3.0,1170,0.9706700308500238,0.7578807134783213,1.2483191079462064
3.0,1180,0.9634109052777113,0.7344785907376224,1.231599068212646
3.0,1190,0.9650543763606413,0.7469795928862734,1.2417225228572262
3.0,1200,0.9645292538755788,0.7493886038365497,1.2173768095374546
3.0,1210,1.0257881783401748,0.7904649119591739,1.313799707306567
3.0,1220,1.0247124101457281,0.7941618337166603,1.2903414178260615
3.0,1230,1.0208312506972133,0.7896641408957492,1.2840611280211427
3.0,1240,1.0147649530396454,0.7840167238529775,1.2905571109754148
3.0,1250,1.0260148241858627,0.797885868761146,1.301798294959726
3.0,1260,1.0211101993051144,0.8000825955681744,1.2931113699140766
3.0,1270,1.016355930443382,0.787559610106662,1.297570674499761
3.0,1280,1.0089193463121422,0.787279597042488,1.2864599174699936
3.0,1290,1.009655678516607,0.7834966134724876,1.2795733805201819
3.0,1300,1.0041120693144676,0.783987869395719,1.2630488261797572
3.0,1310,0.999717137571284,0.7839274273454463,1.2633802710084596
3.0,1320,1.0027477585453044,0.7811904256260334,1.271260370312925
3.0,1330,0.9965838959733819,0.775772895409554,1.2522728436830302
3.0,1340,0.9933159633453541,0.7740711033511459,1.25382790216638
3.0,1350,0.9898427276136128,0.7827374344761882,1.2409296454212506
3.0,1360,0.9844363324940913,0.771713864972197,1.2379182510507676
3.0,1370,0.9824368379299464,0.780909955070313,1.224822133299445
3.0,1380,0.9786844490342146,0.779671137332141,1.2287759236010132
3.0,1390,0.9850259623751335,0.7808946515884215,1.2224401076959206
3.0,1400,0.9819741516625696,0.7709375957146847,1.2368959056836701
3.0,1410,0.9778374146107058,0.77973067968069,1.2310119517094806
3.0,1420,0.9784034100641621,0.7700953094259675,1.2119678248659125
3.0,1430,0.9781847124708668,0.7810123665105662,1.223245306973651
3.0,1440,0.9744565413148454,0.7639660169015166,1.2113053905598925
3.0,1450,0.9720132669849095,0.7696876987798432,1.2135265204748176
3.0,1460,0.9760522283909207,0.7804666828350889,1.2205624238861048
3.0,1470,0.9718211255103543,0.7644570375562069,1.2202409715712115
3.0,1480,0.9675433309238427,0.7639359584511025,1.207183431379442
3.0,1490,0.9638142391233716,0.7676651628121736,1.2010984511608438
3.0,1500,0.9582633058482224,0.7638614259474839,1.1823343068228491
3.0,1510,0.953114868952128,0.7593334158596537,1.176889008464804
3.0,1520,0.9539394950166515,0.7644825967286509,1.1698059693098546
3.0,1530,0.9492066173574483,0.7624673606223757,1.1732737127134236
3.0,1540,0.9576014894056069,0.7600550021075207,1.184413491638083
3.0,1550,0.9524941444487136,0.7655482989491328,1.1766259794024667
3.0,1560,0.9505829865850922,0.7627151270504399,1.1704287510546743
3.0,1570,0.9476380596978448,0.7543646937237858,1.1667886584192573
