condition,N,mean,std,SE,median,min,max,q25,q75
sigma_token__causal,30,174.69446252402074,26.55818885064274,4.848839706659743,174.8502274248749,104.22671297192574,226.71850814297795,152.8951998502016,193.59471309371293
sigma_token__noncausal,30,227.21485060656522,41.25698075985276,7.532459672242662,231.373117256735,135.10122474841774,305.44984912406653,198.37953083589673,259.51957796186207
sigma_block__causal,30,18.061847769800806,6.793912336652912,1.240393013499144,17.238789975643158,5.312657997012138,32.094424987910315,14.868420466780663,22.99302965134848
sigma_block__noncausal,30,15.103146230132976,7.078442568855256,1.2923408889889463,14.832748286621609,0.6396317726903362,31.36086059641093,11.08730487828143,20.106688454005052
sigma_token_perT__causal,30,3.63885631906693,0.39212217617387707,0.07159138706281576,3.6130185162102357,2.952852910384536,4.44546094397996,3.339150797292142,3.8938448358071494
sigma_token_perT__noncausal,30,3.6197093302719314,0.5333704917304433,0.09737968327612881,3.5249311132716197,2.5307612421456724,4.9414008647966385,3.3025415202087234,3.9014902043857376
sigma_block_perT__causal,30,0.3845965818547945,0.16585287814382124,0.030280454195508812,0.3543114022623678,0.10625315994024277,0.8675876986980439,0.3149769235442813,0.4675970300659537
sigma_block_perT__noncausal,30,0.2480609822979785,0.12929162998003774,0.023605314078892627,0.2399417154333121,0.010660529544838936,0.5499425195157528,0.18074302403688852,0.32242320612343234
